Gene	Root	Stamen	Pistil	Leaf	Perisperm	Endosperm
Cc01t02320.1	3.1	0.0	0.0	2.1	0.4	0.4
Cc01t02330.1	17.8	0.5	0.6	6.3	3.0	2.4
Cc01t02340.1	268.0	9.1	17.2	87.0	15.7	18.5
Cc01t02350.1	48.5	0.4	0.6	15.5	4.2	1.2
Cc01t02360.1	444.1	30.0	67.9	212.6	64.6	52.7
Cc01t02370.1	486.6	38.0	71.6	305.8	78.7	64.9
Cc01t02380.1	28.1	24.4	27.8	20.5	27.8	21.7
Cc01t02390.1	0.0	0.0	0.0	0.0	0.0	0.1
Cc01t02400.1	47.2	31.2	69.6	50.9	30.9	35.0
Cc01t02410.1	2.9	2.2	2.4	3.6	4.4	3.3
Cc01t02420.1	1.2	66.4	1177.4	3.0	37.8	90.1
Cc01t02430.1	216.5	39.4	130.3	141.9	303.5	112.4
Cc01t02440.1	19.0	2.2	10.4	31.8	9.6	30.0
Cc01t02450.1	30.7	10.2	35.1	4.1	23.6	15.1
Cc01t02460.1	27.6	2.5	14.4	17.5	17.3	8.3
Cc01t02470.1	37.7	68.4	57.4	45.3	33.4	32.5
Cc01t02480.1	0.0	0.0	0.0	0.0	0.8	7.6
Cc01t02490.1	1.6	0.0	0.1	0.0	0.2	0.4
Cc01t02500.1	0.5	0.0	0.0	0.0	0.1	0.0
Cc01t02510.1	31.9	93.3	40.5	52.2	22.3	27.3
Cc01t02520.1	0.0	0.0	0.0	0.0	0.0	0.1
Cc01t02530.1	5.7	3.7	4.5	4.0	3.8	4.2
Cc01t02540.1	7.8	15.3	49.1	1.0	17.3	2.1
Cc01t02550.1	15.4	1.6	1.3	0.4	17.8	2.2
Cc01t02560.1	0.5	0.9	11.7	0.2	1.4	0.5
Cc01t02570.1	0.4	0.7	57.2	0.1	3.2	0.6
Cc01t02580.1	80.9	12.5	17.8	209.5	45.5	4.9
Cc01t02590.1	33.5	2.7	1.4	23.3	9.0	1.4
Cc01t02600.1	0.2	0.0	0.4	3.3	1.2	0.3
Cc01t02610.1	0.3	0.0	0.0	0.7	0.1	0.7
Cc01t02620.1	0.4	0.0	1.5	0.1	0.3	0.8
Cc01t02630.1	1.3	0.1	0.4	19.0	4.1	3.6
Cc01t02640.1	0.0	0.0	0.0	0.0	17.7	9.9
Cc01t02650.1	1.5	0.8	1.7	1.1	0.5	1.2
Cc01t02660.1	7.7	7.6	61.1	14.9	29.3	31.9
Cc01t02670.1	3.6	0.1	303.5	0.0	0.3	0.0
Cc01t02680.1	0.3	0.2	123.1	0.1	0.1	0.0
Cc01t02690.1	0.0	0.0	0.0	0.5	0.2	0.2
Cc01t02700.1	44.3	22.8	39.4	68.7	103.3	43.6
Cc01t02710.1	39.2	28.0	94.4	28.2	81.4	42.7
Cc01t02720.1	0.0	0.0	0.0	0.1	0.0	0.1
Cc01t02730.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t02740.1	0.0	69.3	0.0	0.0	0.0	0.1
Cc01t02750.1	0.0	0.0	0.0	0.0	0.0	0.4
Cc01t02760.1	17.7	6.3	5.3	18.3	4.2	7.2
Cc01t02770.1	37.7	39.2	63.8	43.8	46.2	56.9
Cc01t02780.1	33.2	0.4	0.3	0.3	1.4	1.0
Cc01t02790.1	2.8	0.0	0.1	0.5	0.1	0.9
Cc01t02800.1	0.2	0.0	1.5	0.2	0.1	0.1
Cc01t02810.1	3.6	0.1	0.7	4.4	0.6	0.2
Cc01t02820.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t02830.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t02840.1	11.0	14.3	11.3	12.7	11.4	9.2
Cc01t02850.1	5.9	7.7	4.1	12.7	6.3	2.1
Cc01t02860.1	112.4	8.7	18.4	21.5	41.7	108.3
Cc01t02870.1	7.1	3.3	1.1	22.3	1.9	2.0
Cc01t02880.1	79.6	26.5	33.2	211.2	16.1	15.5
Cc01t02890.1	4.8	0.3	0.9	3.5	0.0	0.4
Cc01t02900.1	3.2	0.3	1.0	1.9	0.0	0.2
Cc01t02910.1	7.5	0.6	0.2	7.3	1.0	0.5
Cc01t02920.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t02930.1	0.2	0.0	1.5	7.5	1.7	0.2
Cc01t02940.1	16.3	0.3	1.5	6.6	1.1	0.5
Cc01t02950.1	1.8	0.8	0.3	0.7	0.9	0.6
Cc01t02960.1	0.4	0.2	0.0	0.3	0.3	0.4
Cc01t02970.1	0.0	0.0	0.0	0.0	0.0	0.5
Cc01t02980.1	41.5	9.4	42.2	52.4	5.3	12.6
Cc01t02990.1	0.5	0.0	0.5	0.0	0.3	14.4
Cc01t03000.1	0.2	0.0	0.0	0.0	0.0	0.2
Cc01t03010.1	8.6	0.7	3.6	21.6	0.4	0.2
Cc01t03020.1	8.9	0.2	0.1	2.1	0.1	0.2
Cc01t03030.1	7.9	1.9	47.6	21.5	0.4	0.6
Cc01t03040.1	1.0	0.0	0.0	0.1	1.7	1.3
Cc01t03050.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t03060.1	2.5	0.1	0.0	1.2	0.3	0.9
Cc01t03070.1	4.0	1.8	3.3	4.7	7.7	6.6
Cc01t03080.1	77.8	15.7	9.0	13.0	32.5	7.3
Cc01t03090.1	72.3	5.1	1.5	51.6	3.9	10.7
Cc01t03100.1	29.8	23.3	206.8	0.5	0.0	0.6
Cc01t03110.1	0.3	0.1	0.3	0.3	0.1	0.2
Cc01t03120.1	0.0	0.0	0.0	0.0	0.1	0.0
Cc01t03130.1	11.9	9.4	12.4	5.5	5.7	28.3
Cc01t03140.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t03150.1	0.0	0.3	0.0	0.0	0.0	0.0
Cc01t03160.1	0.0	0.0	0.0	0.1	0.3	0.4
Cc01t03170.1	0.8	0.3	1.7	16.5	1.3	1.5
Cc01t03180.1	1.0	0.1	0.3	6.3	0.1	0.1
Cc01t03190.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t03200.1	1.1	0.0	0.0	5.6	0.8	1.9
Cc01t03210.1	54.8	57.2	67.5	72.2	76.2	66.8
Cc01t03220.1	0.0	0.0	0.1	0.1	0.1	0.1
Cc01t03230.1	0.0	0.0	0.0	0.3	1.3	1.2
Cc01t03240.1	0.2	0.0	0.0	0.2	0.1	0.2
Cc01t03250.1	1.2	0.1	0.3	7.0	0.1	0.5
Cc01t03260.1	4.3	2.8	2.2	4.3	4.2	9.7
Cc01t03270.1	0.0	0.0	0.1	0.0	0.0	0.1
Cc01t03280.1	0.0	0.3	0.0	0.1	0.0	0.1
Cc01t03290.1	3.6	39.5	56.6	92.8	5.9	11.2
Cc01t03300.1	5.2	11.5	7.6	8.2	7.0	8.9
Cc01t03310.1	1.8	0.2	0.4	0.8	1.7	3.4
Cc01t03320.1	0.2	0.4	0.0	0.2	0.5	1.4
Cc01t03330.1	12.4	7.3	10.4	12.0	2.6	9.4
Cc01t03340.1	67.0	20.0	18.9	105.5	24.4	49.4
Cc01t03350.1	69.9	17.3	26.7	45.4	26.4	26.3
Cc01t03360.1	8.5	16.3	9.0	1.5	4.9	15.4
Cc01t03370.1	0.6	0.1	0.2	0.4	0.1	0.3
Cc01t03380.1	1.0	0.0	0.7	1.0	0.0	0.5
Cc01t03390.1	0.0	0.0	0.0	0.3	0.0	1.0
Cc01t03400.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t03410.1	0.0	0.0	0.0	0.0	2.1	0.3
Cc01t03420.1	0.3	0.0	0.0	0.7	0.1	0.0
Cc01t03430.1	0.1	0.0	0.1	0.1	0.1	0.1
Cc01t03440.1	0.4	0.0	0.0	0.1	0.0	0.1
Cc01t03450.1	1.6	0.0	0.2	1.3	1.0	0.1
Cc01t03460.1	0.0	0.6	0.3	0.0	1.5	1.0
Cc01t03470.1	0.0	1.0	0.0	0.0	0.1	0.0
Cc01t03480.1	1.5	1.2	1.1	1.8	0.8	1.0
Cc01t03490.1	0.6	0.0	0.0	0.6	0.1	0.0
Cc01t03500.1	0.0	0.0	0.0	0.0	0.1	0.0
Cc01t03510.1	0.2	0.0	0.1	0.0	0.1	0.1
Cc01t03520.1	0.0	0.2	0.0	0.0	18.7	1.1
Cc01t03530.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t03540.1	1.4	0.0	0.6	0.0	0.0	0.0
Cc01t03550.1	0.3	0.1	0.0	0.3	0.1	0.7
Cc01t03560.1	0.1	0.0	0.0	0.0	0.0	0.0
Cc01t03570.1	0.2	0.0	0.0	0.7	0.1	0.0
Cc01t03580.1	64.6	54.6	72.2	53.5	133.9	129.2
Cc01t03590.1	18.8	2.6	6.7	14.0	8.2	7.4
Cc01t03600.1	93.9	98.3	22.6	20.1	197.7	207.2
Cc01t03610.1	27.2	11.1	31.4	63.5	63.0	29.2
Cc01t03620.1	191.1	210.8	304.8	146.2	230.0	153.6
Cc01t03630.1	0.3	1.2	0.5	0.0	0.6	0.8
Cc01t03640.1	15.9	1.9	6.4	27.1	9.7	6.1
Cc01t03650.1	0.0	0.0	0.0	0.4	0.0	0.1
Cc01t03660.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t03670.1	0.0	0.0	0.0	0.0	0.6	1.8
Cc01t03680.1	0.0	0.0	0.1	0.6	0.0	0.0
Cc01t03690.1	0.0	5.8	9.2	0.7	3.3	8.7
Cc01t03700.1	0.0	9.7	0.0	1.1	0.2	0.7
Cc01t03710.1	0.0	0.0	0.0	0.1	0.0	0.0
Cc01t03720.1	13.5	20.3	13.7	18.8	23.1	20.7
Cc01t03730.1	0.1	0.0	0.0	0.1	0.0	0.1
Cc01t03740.1	0.0	0.5	0.4	0.0	0.0	0.0
Cc01t03750.1	15.8	5.1	2.8	9.4	1.1	1.0
Cc01t03760.1	1.7	0.1	0.0	0.3	0.3	2.0
Cc01t03770.1	0.0	0.2	0.1	0.2	0.2	0.8
Cc01t03780.1	0.0	0.1	0.1	0.2	0.8	0.5
Cc01t03790.1	0.0	0.0	0.0	0.0	0.0	1.5
Cc01t03800.1	11.7	3.1	7.9	28.1	27.5	5.9
Cc01t03810.1	26.7	28.3	50.6	26.1	36.6	97.0
Cc01t03820.1	2.2	2.5	1.8	8.9	9.6	5.2
Cc01t03830.1	4.1	0.1	4.6	2.5	4.4	19.6
Cc01t03840.1	0.0	0.0	0.0	0.0	6.2	5.4
Cc01t03850.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t03860.1	0.5	4.9	0.0	0.1	0.1	0.5
Cc01t03870.1	0.1	0.1	0.0	0.0	1.5	0.5
Cc01t03880.1	0.0	0.0	0.7	0.0	0.0	0.0
Cc01t03890.1	68.4	82.2	32.6	81.8	24.7	44.3
Cc01t03900.1	2.4	0.0	0.2	0.1	0.1	0.4
Cc01t03910.1	8.9	0.0	0.1	3.8	0.2	0.4
Cc01t03920.1	11.1	0.0	0.0	0.0	0.0	0.0
Cc01t03930.1	4.1	0.0	0.1	3.3	0.3	2.8
Cc01t03940.1	0.3	0.0	0.0	0.0	0.1	0.3
Cc01t03950.1	0.7	0.4	0.0	0.3	3.9	0.3
Cc01t03960.1	5.1	0.0	0.4	11.4	1.5	0.7
Cc01t03970.1	15.5	21.3	59.8	15.7	161.8	105.1
Cc01t03980.1	7.6	0.2	0.0	0.1	0.4	0.1
Cc01t03990.1	0.9	0.3	0.3	0.1	0.5	1.1
Cc01t04000.1	0.0	0.0	0.0	0.0	0.0	1.7
Cc01t04010.1	2.9	0.0	0.1	0.1	0.0	0.5
Cc01t04020.1	4.3	0.0	0.6	0.2	1.0	2.7
