PANEL	Genetic_Stock_Acc	GS_IRIS_varname	Source_accno	Country_Origin (ISO standard)	Orytage	IN-PRAY	TJ-PRAY	3K_DNA_IRIS_UNIQUE_ID	TYPE	
1881	3K-IRRI	IRGC 121816	S 102/2::GERVEX 1251-C1	EURIGEN_1251	Portugal				IRIS 313-8134	temp
1882	3K-IRRI	IRGC 121818	SAEDINENIE::GERVEX 1255-C1	EURIGEN_1255	Bulgaria				IRIS 313-8135	temp
1883	3K-IRRI	IRGC 121819	SAFARI::GERVEX 1256-C1	EURIGEN_1256	Portugal				IRIS 313-8136	temp
1884	3K-IRRI	IRGC 121820	SAGRES::GERVEX 1258-C1	EURIGEN_1258	Portugal				IRIS 313-8137	japx
1885	3K-IRRI	IRGC 122235	SALOIO::GERVEX 1259-C1	EURIGEN_1259	Portugal				IRIS 313-8138	temp
1886	3K-IRRI	IRGC 122240	SANDOCA::GERVEX 1262-C1	EURIGEN_1262	Portugal				IRIS 313-8139	japx
1887	3K-IRRI	IRGC 122241	SANGHAI::GERVEX 1264-C1	EURIGEN_1264	China				IRIS 313-8140	temp
1888	3K-IRRI	IRGC 122244	SELN 244 A 6-20::GERVEX 1273-C1	EURIGEN_1273	Australia				IRIS 313-8141	temp
1889	3K-IRRI	IRGC 122249	SETTANTUNO::GERVEX 1279-C1	EURIGEN_1279	Portugal				IRIS 313-8142	temp
1890	3K-IRRI	IRGC 122252	SLAVA::GERVEX 1287-C1	EURIGEN_1287	Bulgaria				IRIS 313-8143	japx
1891	3K-IRRI	IRGC 122257	SUPER::GERVEX 1304-C1	EURIGEN_1304	Portugal				IRIS 313-8145	temp
1892	3K-IRRI	IRGC 122259	T 757::GERVEX 1316-C1	EURIGEN_1316	India				IRIS 313-8147	temp
1893	3K-IRRI	IRGC 122267	TIMICH 108::GERVEX 1325-C1	EURIGEN_1325	Romania				IRIS 313-8148	temp
1894	3K-IRRI	IRGC 122268	TOPAZIO::GERVEX 1332-C1	EURIGEN_1332	Portugal				IRIS 313-8149	temp
1895	3K-IRRI	IRGC 122273	VALTEJO::GERVEX 1355-C1	EURIGEN_1355	Portugal				IRIS 313-8151	temp
1896	3K-IRRI	IRGC 122055	GIGANTE VERCELLI::GERVEX 1408-C1	EURIGEN_1408	Italy				IRIS 313-8154	japx
1897	3K-IRRI	IRGC 122142	KULON::GERVEX 1473-C1	GClément_Cirad	Russia				IRIS 313-8155	japx
1898	3K-IRRI	IRGC 122022	CT 23::GERVEX 1488-C1	EURIGEN_1488	Colombia				IRIS 313-8158	japx
1899	3K-IRRI	IRGC 122023	CT 36::GERVEX 1489-C1	EURIGEN_1489	Colombia				IRIS 313-8159	japx
1900	3K-IRRI	IRGC 122024	CT 58::GERVEX 1491-C1	EURIGEN_1491	Colombia				IRIS 313-8160	temp
1901	3K-IRRI	IRGC 122017	CNA 4081::GERVEX 1494-C1	EURIGEN_1494	Brazil				IRIS 313-8161	ind1B
1902	3K-IRRI	IRGC 122223	RPC 12::GERVEX 1505-C1	EURIGEN_1505	China				IRIS 313-8162	temp
1903	3K-IRRI	IRGC 122300	YRM 6-2::GERVEX 1508-C1	EURIGEN_1508	Australia				IRIS 313-8164	temp
1904	3K-IRRI	IRGC 122013	CIGALON::GERVEX 1514-C1	EURIGEN_1514	France				IRIS 313-8165	temp
1905	3K-IRRI	IRGC 121995	CALENDAL::GERVEX 1516-C1	EURIGEN_1516	France				IRIS 313-8166	japx
1906	3K-IRRI	IRGC 122303	DELTA::GERVEX 1519-C1	EURIGEN_1519	France				IRIS 313-8167	japx
1907	3K-IRRI	IRGC 121968	ARLESIENNE::GERVEX 1530-C1	EURIGEN_1530	France				IRIS 313-8168	japx
1908	3K-IRRI	IRGC 122166	MEJANES 2::GERVEX 1560-C1	EURIGEN_1560	France				IRIS 313-8170	japx
1909	3K-IRRI	IRGC 121972	AUZGUSTA::GERVEX 1634-C1	GClément_Cirad	Hungary				IRIS 313-8171	temp
1910	3K-IRRI	IRGC 122048	FIDJI::GERVEX 1636-C1	GClément_Cirad	Philippines				IRIS 313-8172	admix
1911	3K-IRRI	IRGC 121959	A 201::GERVEX 1638-C1	EURIGEN_1638	United States of America				IRIS 313-8173	trop1
1912	3K-IRRI	IRGC 121971	AUGUSTO::GERVEX 1643-C1	EURIGEN_1643	Italy				IRIS 313-8177	japx
1913	3K-IRRI	IRGC 122035	DELLMONT::GERVEX 1647-C1	EURIGEN_1647	United States of America				IRIS 313-8180	trop1
1914	3K-IRRI	IRGC 122304	DREW::GERVEX 1650-C1	EURIGEN_1650	United States of America				IRIS 313-8183	trop1
1915	3K-IRRI	IRGC 122050	FRAGANCE::GERVEX 1651-C1	EURIGEN_1651	Italy				IRIS 313-8184	admix
1916	3K-IRRI	IRGC 122061	GLADIO::GERVEX 1652-C1	EURIGEN_1652	Italy				IRIS 313-8185	trop1
1917	3K-IRRI	IRGC 122122	JACINTO::GERVEX 1653-C1	EURIGEN_1653	United States of America				IRIS 313-8186	trop1
1918	3K-IRRI	IRGC 122144	L 205::GERVEX 1659-C1	EURIGEN_1659	United States of America				IRIS 313-8192	trop1
1919	3K-IRRI	IRGC 122146	LACASSINE::GERVEX 1660-C1	EURIGEN_1660	United States of America				IRIS 313-8193	trop1
1920	3K-IRRI	IRGC 122153	LUXOR::GERVEX 1662-C1	EURIGEN_1662	Italy				IRIS 313-8195	japx
1921	3K-IRRI	IRGC 122183	OPALE::GERVEX 1667-C1	EURIGEN_1667	Italy				IRIS 313-8200	temp
1922	3K-IRRI	IRGC 122216	REXMONT::GERVEX 1669-C1	EURIGEN_1669	United States of America				IRIS 313-8202	trop1
1923	3K-IRRI	IRGC 121817	S 102::GERVEX 1671-C1	EURIGEN_1671	United States of America				IRIS 313-8204	temp
1924	3K-IRRI	IRGC 122237	SALVO::GERVEX 1672-C1	EURIGEN_1672	Italy				IRIS 313-8205	japx
1925	3K-IRRI	IRGC 122152	LUSITO IRRADIADO 859-85-2::GERVEX 1676-C1	EURIGEN_1676	Portugal				IRIS 313-8208	temp
1926	3K-IRRI	IRGC 121962	ALEXANDROS::GERVEX 1678-C1	EURIGEN_1678	Greece				IRIS 313-8209	trop1
1927	3K-IRRI	IRGC 122060	GIZA 178::GERVEX 1681-C1	EURIGEN_?	Egypt				IRIS 313-8212	indx
1928	3K-IRRI	IRGC 122070	GRAAL::GERVEX 1682-C1	EURIGEN_1682	France				IRIS 313-8213	trop1
1929	3K-IRRI	IRGC 122167	MELAS::GERVEX 1684-C1	EURIGEN_1684	Greece				IRIS 313-8214	japx
1930	3K-IRRI	IRGC 122168	MERLE::GERVEX 1685-C1	EURIGEN_1685	France				IRIS 313-8215	indx
1931	3K-IRRI	IRGC 122222	ROXANI::GERVEX 1686-C1	EURIGEN_1686	Greece				IRIS 313-8216	temp
1932	3K-IRRI	IRGC 122233	SAKHA 102::GERVEX 1687-C1	EURIGEN_?	Egypt				IRIS 313-8217	temp
1933	3K-IRRI	IRGC 122234	SAKHA 103::GERVEX 1688-C1	EURIGEN_1688	Egypt				IRIS 313-8218	temp
1934	3K-IRRI,RDP2sim	IRGC 117597	IR 62266-42-6-2	IRGC 117397	Philippines				IRIS 313-8232	trop1
1935	3K-IRRI	IRGC 126002	POKKALI::IRGC 8948-1	IRGC 8948	Sri Lanka				IRIS 313-8244	ind2
1936	RDP2, 3K-IRRI	IRGC 121233	JAGLI BORO::IRGC 27516-2	IRGC 27516	Bangladesh				IRIS 313-8252	aus
1937	RDP2, 3K-IRRI	IRGC 121235	KHAO DAWK MALI 105::IRGC 27748-2	IRGC 27748	Thailand	Y	Y		IRIS 313-8253	ind3
1938	3K-IRRI	IRGC 117474	GERDEH	IRGC 32301	Iran				IRIS 313-8256	japx
1939	RDP2, 3K-IRRI	IRGC 117454	CO 39	IRGC 51231	India		Y		IRIS 313-8265	indx
1940	RDP2, 3K-IRRI	IRGC 117446	CHHOTE DHAN	IRGC 58930	Nepal				IRIS 313-8268	aro
1941	3K-IRRI	IRGC 126067	K 2 C 14::IRGC 68549-1	IRGC 68549	Cote d'Ivoire				IRIS 313-8277	trop1
1942	3K-IRRI	IRGC 126086	SAWAH::IRGC 71612-1	IRGC 71612	Malaysia				IRIS 313-8279	trop1
1943	RDP2, 3K-IRRI	IRGC 121026	KOYRA::IRGC 77267-1	IRGC 77267	Bangladesh				IRIS 313-8283	aus
1944	3K-IRRI,RDP1sim	IRGC 125614	KATY::IRGC 77140-1	IRGC 77140	United States of America				IRIS 313-8285	trop1
1945	3K-IRRI	IRGC 117430	AVO	IRGC 11000	Madagascar				IRIS 313-8288	indx
1946	3K-IRRI		KEDOT::IRGC 66568-1	IRGC 66568	Indonesia				IRIS 313-8291	ind3
1947	3K-IRRI,RDP2sim	IRGC 117442	CARREON	IRGC 32575	Philippines				IRIS 313-8292	ind3
1948	3K-IRRI		SAGNADE::IRGC 15801-1	IRGC 15801	Senegal				IRIS 313-8293	ind3
1949	3K-IRRI	IRGC 126116	KAMJA::IRGC 62171-1	IRGC 62171	Bhutan				IRIS 313-8302	admix
1950	3K-IRRI	IRGC 126008	SURMATIYA::IRGC 74779-1	IRGC 74779	India				IRIS 313-8303	ind2
1951	3K-IRRI	IRGC 126289	URAIBOOL::IRGC 52785-1	IRGC 52785	India				IRIS 313-8305	ind2
1952	3K-IRRI		PULUTHI KARAN (MIXED)::IRGC 77530-1	IRGC 77530	India				IRIS 313-8306	indx
1953	3K-IRRI		BATU::IRGC 71508-1	IRGC 71508	Malaysia				IRIS 313-8312	ind3
1954	3K-IRRI	IRGC 126047	BEUREUM MEULIT::IRGC 35563-1	IRGC 35563	Indonesia				IRIS 313-8314	trop1
1955	3K-IRRI		ARC 11867::IRGC 40978-1	IRGC 40978	India				IRIS 313-8315	indx
1956	3K-IRRI		RADIN PAHANG::IRGC 14487-1	IRGC 14487	Malaysia				IRIS 313-8316	ind3
1957	RDP2, 3K-IRRI	IRGC 120894	BHADOIA 303::IRGC 6588-1	IRGC 6588	Bangladesh				IRIS 313-8321	aus
1958	3K-IRRI		REXARK ROGUE::IRGC 1972-1	IRGC 1972	United States of America				IRIS 313-8323	trop1
1959	RDP2, 3K-IRRI	IRGC 121474	POENOET HITAM::IRGC 8193-1	IRGC 8193	Indonesia	Y			IRIS 313-8324	admix
1960	RDP2, 3K-IRRI	IRGC 117494	JC 1	IRGC 9091	India				IRIS 313-8326	aro
1961	3K-IRRI	IRGC 126298	ARC 15091::IRGC 43048-1	IRGC 43048	India				IRIS 313-8332	indx
1962	3K-IRRI	IRGC 125603	BOND::IRGC 66755-1	IRGC 66755	United States of America				IRIS 313-8339	trop1
1963	RDP2, 3K-IRRI	IRGC 121599	BAT DO::IRGC 7014-1	IRGC 7014	Viet Nam				IRIS 313-8341	indx
1964	RDP2, 3K-IRRI	IRGC 121029	KURULU WEE (WHITE)::IRGC 66518-1	IRGC 66518	Sri Lanka				IRIS 313-8342	aus
1965	3K-IRRI	IRGC 128535	LATA MONA::IRGC 49333-1	IRGC 49333	Bangladesh				IRIS 313-8349	ind2
1966	3K-IRRI	IRGC 126188	BLICCA::IRGC 47151-1	IRGC 47151	Philippines				IRIS 313-8356	trop1
1967	3K-IRRI	IRGC 126071	MENTIK TJERE BELUT::IRGC 18254-1	IRGC 18254	Indonesia				IRIS 313-8368	indx
1968	3K-IRRI	IRGC 126123	SAN CHIAO TSWEN::IRGC 1565-1	IRGC 1565	China				IRIS 313-8380	ind1A
1969	3K-IRRI	IRGC 126308	PURAK SIRIBA::IRGC 71598-1	IRGC 71598	Malaysia				IRIS 313-8381	trop1
1970	3K-IRRI		ARC 13252::IRGC 22604-1	IRGC 22604	India				IRIS 313-8382	admix
1971	3K-IRRI	IRGC 125964	GENE::IRGC 67434-1	IRGC 67434	Philippines				IRIS 313-8383	indx
1972	3K-IRRI	IRGC 117497	JC 149	IRGC 9070	India				IRIS 313-8385	aro
1973	3K-IRRI	IRGC 126173	ARC 10812::IRGC 21074-1	IRGC 21074	India				IRIS 313-8386	indx
1974	3K-IRRI	IRGC 125610	FU LI HONG::IRGC 70250-1	IRGC 70250	China				IRIS 313-8387	temp
1975	RDP2, 3K-IRRI	IRGC 121128	SUFAID 246::IRGC 28303-1	IRGC 28303	Pakistan				IRIS 313-8390	aus
1976	3K-IRRI		MARAGBE::IRGC 69263-1	IRGC 69263	Burkina Faso				IRIS 313-8391	ind2
1977	3K-IRRI	IRGC 125970	IR 2003-P7-7-4-2::IRGC 32671-1	IRGC 32671	Philippines				IRIS 313-8392	ind1B
1978	RDP2, 3K-IRRI	IRGC 121022	KHARSU 80::IRGC 28016-1	IRGC 28016	Pakistan				IRIS 313-8398	aus
1979	3K-IRRI,RDP1sim	IRGC 126113	68-2::IRGC 14546-1	IRGC 14546	France				IRIS 313-8399	temp
1980	3K-IRRI	IRGC 125622	RIKUTO NORIN MOCHI 20::IRGC 410-1	IRGC 410	Japan				IRIS 313-8400	trop1
1981	3K-IRRI		ARC 13530::IRGC 41146-1	IRGC 41146	India				IRIS 313-8401	indx
1982	3K-IRRI	IRGC 125613	JIN JUN DAO::IRGC 59710-1	IRGC 59710	China				IRIS 313-8405	indx
1983	3K-IRRI		NACHIN ER 12::IRGC 14146-1	IRGC 14146	Malaysia				IRIS 313-8407	ind3
1984	3K-IRRI	IRGC 126007	SOM NGHE AN::IRGC 60751-1	IRGC 60751	Viet Nam				IRIS 313-8409	indx
1985	RDP2, 3K-IRRI	IRGC 121618	JABOR SAIL::IRGC 66831-1	IRGC 66831	Bangladesh				IRIS 313-8410	aus
1986	3K-IRRI	IRGC 125609	FEI GAI 122::IRGC 63599-1	IRGC 63599	China				IRIS 313-8412	indx
1987	3K-IRRI	IRGC 126175	ARC 18202::IRGC 42328-1	IRGC 42328	India				IRIS 313-8414	indx
1988	3K-IRRI	IRGC 127071	BOCAO::IRGC 50384-1	IRGC 50384	Philippines				IRIS 313-8431	trop1
1989	3K-IRRI	IRGC 126115	CHANG LE SAN SHU ZAO::IRGC 63561-1	IRGC 63561	China				IRIS 313-8433	ind1A
1990	3K-IRRI	IRGC 125625	TEBONNET::IRGC 66760-1	IRGC 66760	United States of America				IRIS 313-8434	trop1
1991	3K-IRRI	IRGC 125627	UPRH 233::IRGC 61667-1	IRGC 61667	India				IRIS 313-8435	ind1A
1992	3K-IRRI	IRGC 126307	PIKTO MAMAS::IRGC 18487-1	IRGC 18487	Indonesia				IRIS 313-8436	trop1
1993	3K-IRRI	IRGC 126215	IRRIBINI::IRGC 49094-1	IRGC 49094	Bangladesh				IRIS 313-8437	indx
1994	3K-IRRI,RDP2sim	IRGC 126220	KENDINGA 5 (H)::IRGC 60310-1	IRGC 60310	Malaysia				IRIS 313-8439	trop1
1995	3K-IRRI,RDP2sim	IRGC 126118	M 203::IRGC 76309-1	IRGC 76309	United States of America				IRIS 313-8444	temp
1996	3K-IRRI	IRGC 126041	498-2A BR 8::IRGC 5891-1	IRGC 5891	India				IRIS 313-8450	ind2
1997	3K-IRRI	IRGC 126043	ARC 18597::IRGC 43299-1	IRGC 43299	India				IRIS 313-8453	indx
1998	3K-IRRI	IRGC 125618	LAI YIP ZIM::IRGC 4955-1	IRGC 4955	Taiwan				IRIS 313-8454	ind1A
1999	3K-IRRI		SARA::IRGC 66631-1	IRGC 66631	Indonesia				IRIS 313-8457	ind3
2000	3K-IRRI		ARC 18175::IRGC 42316-1	IRGC 42316	India				IRIS 313-8458	indx
2001	3K-IRRI		CHAW GAM PRUED::IRGC 71103-1	IRGC 71103	Thailand				IRIS 313-8466	ind3
2002	3K-IRRI	IRGC 126233	LEONG ORN 4135::IRGC 14087-1	IRGC 14087	Malaysia				IRIS 313-8468	ind3
2003	3K-IRRI	IRGC 126258	PAH WEAN::IRGC 78276-1	IRGC 78276	Thailand				IRIS 313-8474	ind3
2004	3K-IRRI	IRGC 126198	DAN YAN NUO::IRGC 4860-1	IRGC 4860	China				IRIS 313-8481	temp
2005	3K-IRRI,RDP2sim	IRGC 117536	NAM SA GUI 19	IRGC 11462	Thailand				IRIS 313-8485	ind3
2006	3K-IRRI	IRGC 127043	DAGPA MRAS::IRGC 62166-1	IRGC 62166	Bhutan				IRIS 313-8486	trop2
2007	3K-IRRI	IRGC 126226	KUNENG::IRGC 71545-1	IRGC 71545	Malaysia				IRIS 313-8492	ind3
2008	3K-IRRI	IRGC 128537	MELABOH::IRGC 66597-1	IRGC 66597	Indonesia				IRIS 313-8493	ind3
2009	3K-IRRI	IRGC 126176	ARC 7091::IRGC 20491-1	IRGC 20491	India				IRIS 313-8498	aro
2010	3K-IRRI	IRGC 125620	M 102::IRGC 76307-1	IRGC 76307	United States of America				IRIS 313-8502	temp
2011	3K-IRRI	IRGC 126261	PUILLIPINA KATARI::IRGC 77293-1	IRGC 77293	Bangladesh				IRIS 313-8509	ind2
2012	3K-IRRI	IRGC 126196	DAA MANSA::IRGC 67559-1	IRGC 67559	Ghana				IRIS 313-8514	ind1B
2013	3K-IRRI	IRGC 125995	MANDASHERPO::IRGC 64913-1	IRGC 64913	Bhutan				IRIS 313-8519	trop2
2014	3K-IRRI,RDP2sim	IRGC 117543	OS 4	IRGC 11335	Nigeria				IRIS 313-8523	trop1
2015	3K-IRRI	IRGC 126199	DHANE BURWA::IRGC 10105-1	IRGC 10105	India				IRIS 313-8530	ind2
2016	3K-IRRI		NG KARAN DE::IRGC 43489-1	IRGC 43489	Indonesia				IRIS 313-8536	ind3
2017	RDP2, 3K-IRRI	IRGC 121188	ARC 11959::IRGC 21780-1	IRGC 21780	India				IRIS 313-8554	aus
2018	3K-IRRI		SERENDAH SUNGAI DUA 25::IRGC 13892-1	IRGC 13892	Malaysia				IRIS 313-8557	ind3
2019	3K-IRRI	IRGC 125615	KEERIPALA CHILL PADDY::IRGC 49790-1	IRGC 49790	India				IRIS 313-8559	ind2
2020	3K-IRRI	IRGC 126316	YAHNG LEU::IRGC 78279-1	IRGC 78279	Thailand				IRIS 313-8565	trop2
2021	3K-IRRI		SINERBESA::IRGC 38711-1	IRGC 38711	Philippines				IRIS 313-8567	ind3
2022	3K-IRRI	IRGC 125619	LARHA MUGAD::IRGC 52339-1	IRGC 52339	India				IRIS 313-8568	ind2
2023	3K-IRRI	IRGC 126204	ES 21::IRGC 56171-1	IRGC 56171	Tanzania				IRIS 313-8571	ind3
2024	3K-IRRI	IRGC 126037	ONOY::IRGC 55418-1	IRGC 55418	Philippines				IRIS 313-8572	trop1
2025	3K-IRRI	IRGC 125992	KHAU TRA BONG::IRGC 78342-1	IRGC 78342	Viet Nam				IRIS 313-8578	trop2
2026	3K-IRRI,RDP1sim	IRGC 126197	DAM::IRGC 23710-1	IRGC 23710	Thailand				IRIS 313-8580	trop2
2027	3K-IRRI	IRGC 127033	ARC 11901::IRGC 21727-1	IRGC 21727	India				IRIS 313-8585	indx
2028	3K-IRRI	IRGC 126081	PLI KHAO::IRGC 64596-1	IRGC 64596	Thailand				IRIS 313-8586	ind3
2029	3K-IRRI		SIAM ER 32::IRGC 13917-1	IRGC 13917	Malaysia				IRIS 313-8591	ind3
2030	3K-IRRI		MINATANDA::IRGC 74613-1	IRGC 74613	Philippines				IRIS 313-8594	trop1
2031	3K-IRRI	IRGC 126240	MAKALIOKA STANDARD::IRGC 12768-1	IRGC 12768	Madagascar				IRIS 313-8595	ind2
2032	3K-IRRI	IRGC 127041	BUE GA WA::IRGC 60824-1	IRGC 60824	Thailand				IRIS 313-8599	trop2
2033	3K-IRRI	IRGC 126042	ARC 12884::IRGC 22417-1	IRGC 22417	India				IRIS 313-8603	indx
2034	3K-IRRI		AC 13 (T 141)::IRGC 5456-1	IRGC 5456					IRIS 313-8606	ind3
2035	3K-IRRI		SI HAO NDURIA::IRGC 66649-1	IRGC 66649	Indonesia				IRIS 313-8608	ind3
2036	3K-IRRI	IRGC 126264	RAJHUSAI (ACR 12)::IRGC 53630-1	IRGC 53630	India				IRIS 313-8614	ind2
2037	3K-IRRI		IR 5494 (BPH 1)::IRGC 24484-1	IRGC 24484	Philippines				IRIS 313-8616	ind1B
2038	3K-IRRI	IRGC 126174	ARC 11663::IRGC 42695-1	IRGC 42695	India				IRIS 313-8621	ind1B
2039	3K-IRRI	IRGC 126294	XITTO::IRGC 6671-1	IRGC 6671	India				IRIS 313-8622	ind2
2040	3K-IRRI	IRGC 126045	BANJANG::IRGC 44069-1	IRGC 44069	Malaysia				IRIS 313-8626	trop1
2041	3K-IRRI	IRGC 126260	PRELUDE::IRGC 1790-1	IRGC 1790	United States of America				IRIS 313-8627	trop1
2042	3K-IRRI	IRGC 125608	DUDRE::IRGC 52523-1	IRGC 52523	India				IRIS 313-8631	ind2
2043	3K-IRRI		PATMADHAI 1::IRGC 77292-1	IRGC 77292	Bangladesh				IRIS 313-8632	ind2
2044	3K-IRRI	IRGC 126179	BALINGMI::IRGC 62156-1	IRGC 62156	Bhutan				IRIS 313-8637	trop2
2045	3K-IRRI	IRGC 126250	Na souan::IRGC 11889-1	IRGC 11889	Lao People's Democratic Republic				IRIS 313-8638	ind3
2046	RDP2, 3K-IRRI	IRGC 120876	AUS 439::IRGC 29221-1	IRGC 29221	Bangladesh				IRIS 313-8641	aus
2047	3K-IRRI		DAJA::IRGC 17440-1	IRGC 17440	Indonesia				IRIS 313-8643	ind3
2048	3K-IRRI	IRGC 126122	PAI YI PING::IRGC 1368-1	IRGC 1368	China				IRIS 313-8645	ind1A
2049	3K-IRRI	IRGC 125621	PERUNEL::IRGC 63113-1	IRGC 63113	India				IRIS 313-8647	ind2
2050	RDP2, 3K-IRRI	IRGC 121582	TAK::IRGC 73124-1	IRGC 73124	Pakistan				IRIS 313-8655	aus
2051	3K-IRRI,RDP1sim	IRGC 126046	BASMATI 1::IRGC 27798-1	IRGC 27798	Pakistan				IRIS 313-8656	aro
2052	3K-IRRI		CO 19::IRGC 5905-1	IRGC 5905	India				IRIS 313-8657	indx
2053	3K-IRRI	IRGC 126195	CP 231::IRGC 34018-1	IRGC 34018	United States of America				IRIS 313-8658	japx
2054	3K-IRRI		YA THAY SAN::IRGC 58245-1	IRGC 58245	Myanmar				IRIS 313-8659	indx
2055	3K-IRRI	IRGC 125616	KOTTEYARAN::IRGC 47383-1	IRGC 47383	Sri Lanka				IRIS 313-8660	ind2
2056	3K-IRRI		SITORU::IRGC 66669-1	IRGC 66669	Indonesia				IRIS 313-8664	trop1
2057	3K-IRRI	IRGC 127058	M 7::IRGC 34281-1	IRGC 34281	United States of America				IRIS 313-8665	temp
2058	3K-IRRI	IRGC 125604	CALROSE 76::IRGC 34275-1	IRGC 34275	United States of America				IRIS 313-8669	japx
2059	3K-IRRI	IRGC 125965	HAWM KRUA::IRGC 64333-1	IRGC 64333	Thailand				IRIS 313-8674	ind3
2060	3K-IRRI	IRGC 126216	JAO LEUANG::IRGC 65866-1	IRGC 65866	Thailand				IRIS 313-8679	ind3
2061	3K-IRRI		KOLITONDO::IRGC 66497-1	IRGC 66497	Guinea				IRIS 313-8681	ind3
2062	3K-IRRI		JOTA BITCHI 1::IRGC 77253-1	IRGC 77253	Bangladesh				IRIS 313-8683	ind2
2063	3K-IRRI	IRGC 126329	KEREN FENHO::IRGC 56735-1	IRGC 56735	Guinea-Bissau				IRIS 313-8687	trop1
2064	3K-IRRI,RDP2sim	IRGC 117537	NEP HOA VANG	IRGC 40748	Viet Nam				IRIS 313-8690	japx
2065	3K-IRRI,RDP2sim	IRGC 126010	TRES MESES::IRGC 6464-1	IRGC 6464	Brazil				IRIS 313-8694	trop1
2066	3K-IRRI	IRGC 125628	YEBAWYIN::IRGC 33885-1	IRGC 33885	Myanmar				IRIS 313-8697	ind3
2067	3K-IRRI	IRGC 126178	BALASURIYA A::IRGC 66509-1	IRGC 66509	Sri Lanka				IRIS 313-8699	indx
2068	3K-IRRI		KHAO PRAHJIN::IRGC 64420-1	IRGC 64420	Thailand				IRIS 313-8702	ind3
2069	3K-IRRI	IRGC 124432	DA 7	IRGC 5809	Bangladesh				IRIS 313-8703	ind2
2070	3K-IRRI		ROPA::IRGC 74774-1	IRGC 74774	India				IRIS 313-8704	ind2
2071	RDP2, 3K-IRRI	IRGC 117426	ARC 13829	IRGC 42469	India				IRIS 313-8712	aro
2072	3K-IRRI		NELI::IRGC 66603-1	IRGC 66603	Indonesia				IRIS 313-8713	ind3
2073	3K-IRRI	IRGC 126184	BAZAIL::IRGC 27526-1	IRGC 27526	Bangladesh				IRIS 313-8717	indx
2074	RDP2, 3K-IRRI	IRGC 120969	HOLOI BASH (SOLOI BASH)::IRGC 64778-1	IRGC 64778	Bangladesh				IRIS 313-8721	aus
2075	3K-IRRI		HAWM TOONG::IRGC 48007-1	IRGC 48007	Thailand				IRIS 313-8722	ind3
2076	3K-IRRI	IRGC 126033	KUTAI PAYA::IRGC 19528-1	IRGC 19528	Malaysia				IRIS 313-8723	ind3
2077	3K-IRRI	IRGC 126262	PULUT BARAYA::IRGC 27393-1	IRGC 27393	Indonesia				IRIS 313-8725	ind3
2078	3K-IRRI	IRGC 126280	T 315::IRGC 54792-1	IRGC 54792	India				IRIS 313-8727	ind2
2079	3K-IRRI	IRGC 126119	NIBARI::IRGC 67742-1	IRGC 67742	India				IRIS 313-8731	ind2
2080	3K-IRRI	IRGC 126092	WP 36::IRGC 55278-1	IRGC 55278	Thailand				IRIS 313-8732	ind1B
2081	3K-IRRI		NOLOS::IRGC 77285-1	IRGC 77285	Bangladesh				IRIS 313-8733	ind2
2082	3K-IRRI	IRGC 126074	NEP NGAU::IRGC 78369-1	IRGC 78369	Viet Nam				IRIS 313-8735	japx
2083	3K-IRRI	IRGC 126270	SADAJIRA 19-287::IRGC 38320-1	IRGC 38320	Bangladesh				IRIS 313-8737	ind2
2084	3K-IRRI	IRGC 126090	TAI 6::IRGC 69058-1	IRGC 69058	Cote d'Ivoire				IRIS 313-8739	admix
2085	3K-IRRI	IRGC 126075	NIAO YAO::IRGC 5496-1	IRGC 5496	Taiwan				IRIS 313-8743	indx
2086	3K-IRRI	IRGC 126266	REMOL::IRGC 18624-1	IRGC 18624	Indonesia				IRIS 313-8744	ind3
2087	3K-IRRI	IRGC 126087	SD 120 SELN (CI 12320)::IRGC 1667-1	IRGC 1667	Haiti				IRIS 313-8745	trop1
2088	RDP2, 3K-IRRI	IRGC 117466	DOM ZARD	IRGC 12881	Iran				IRIS 313-8747	aro
2089	3K-IRRI	IRGC 126209	HNANWA::IRGC 33118-1	IRGC 33118	Myanmar				IRIS 313-8751	ind3
2090	3K-IRRI	IRGC 126011	TYPE 50::IRGC 74782-1	IRGC 74782	India				IRIS 313-8754	ind2
2091	3K-IRRI	IRGC 126120	NORIN 6::IRGC 2633-1	IRGC 2633	Japan				IRIS 313-8755	temp
2092	3K-IRRI	IRGC 126000	NIRGUNI::IRGC 61127-1	IRGC 61127	India				IRIS 313-8757	ind2
2093	3K-IRRI	IRGC 126284	TIMMURAY::IRGC 67857-1	IRGC 67857	Bhutan				IRIS 313-8765	aro
2094	3K-IRRI		SIDIK::IRGC 66643-1	IRGC 66643	Indonesia				IRIS 313-8767	ind3
2095	3K-IRRI	IRGC 127060	MOROFIN::IRGC 56698-1	IRGC 56698	Cote d'Ivoire				IRIS 313-8768	trop1
2096	3K-IRRI	IRGC 126225	KOSAGI::IRGC 57692-1	IRGC 57692	Guinea				IRIS 313-8769	trop1
2097	RDP2, 3K-IRRI	IRGC 121120	SIMUL KHURI::IRGC 35154-1	IRGC 35154	India				IRIS 313-8771	aus
2098	3K-IRRI	IRGC 126124	SUP BLUE ROSE::IRGC 1739-1	IRGC 1739	United States of America				IRIS 313-8778	trop1
2099	3K-IRRI		TAPANG::IRGC 13361-1	IRGC 13361	Malaysia				IRIS 313-8781	ind3
