PANEL	Genetic_Stock_Acc	GS_IRIS_varname	Source_accno	Country_Origin (ISO standard)	Orytage	IN-PRAY	TJ-PRAY	3K_DNA_IRIS_UNIQUE_ID	TYPE	
90	3K-IRRI		PSBRC 86::IRGC 99716-1	IRGC 99716	Philippines				IRIS 313-10237	ind1B
91	3K-IRRI	IRGC 125876	PSBRC 88::IRGC 99717-1	IRGC 99717	Philippines				IRIS 313-10238	ind1B
92	3K-IRRI	IRGC 125827	LIU XU::IRGC 109232-1	IRGC 109232	China				IRIS 313-10239	indx
93	3K-IRRI	IRGC 127074	H 305-84::IRGC 116988-1	IRGC 116988	Hungary				IRIS 313-10242	temp
94	3K-IRRI	IRGC 125949	AMISTAD 82::IRGC 116954-1	IRGC 116954	Cuba				IRIS 313-10247	ind1B
95	3K-IRRI	IRGC 127031	ALTAMIRA 9::IRGC 116953-1	IRGC 116953	Nicaragua				IRIS 313-10257	indx
96	3K-IRRI	IRGC 126050	BULI INIA::IRGC 116961-1	IRGC 116961	Chile				IRIS 313-10258	temp
97	3K-IRRI	IRGC 125957	CEA 3::IRGC 116965-1	IRGC 116965	Paraguay				IRIS 313-10260	indx
98	3K-IRRI	IRGC 125961	CUYAMEL 3820::IRGC 116975-1	IRGC 116975	Mexico				IRIS 313-10263	indx
99	3K-IRRI	IRGC 127072	FONAIAP 2::IRGC 116985-1	IRGC 116985	Venezuela				IRIS 313-10268	indx
100	3K-IRRI	IRGC 125966	IA CUBA 17::IRGC 116990-1	IRGC 116990	Cuba				IRIS 313-10271	indx
101	3K-IRRI,RDP2sim	IRGC 125714	COLOMBIA 1::IRGC 116970-1	IRGC 116970	Colombia				IRIS 313-10272	japx
102	3K-IRRI	IRGC 125967	ICTA CRISPO 38::IRGC 116994-1	IRGC 116994	Guatemala				IRIS 313-10274	ind1B
103	3K-IRRI	IRGC 125968	ICTA MOTAGUA::IRGC 116995-1	IRGC 116995	Guatemala				IRIS 313-10275	indx
104	3K-IRRI	IRGC 126066	JUMA 62::IRGC 117011-1	IRGC 117011	Dominican Republic				IRIS 313-10279	indx
105	3K-IRRI	IRGC 121119	SICAN::IRGC 117029-1	IRGC 117029	Peru				IRIS 313-10285	indx
106	3K-IRRI	IRGC 127068	UQUIHUA::IRGC 117037-1	IRGC 117037	Peru				IRIS 313-10287	ind1B
107	3K-IRRI	IRGC 125950	ARAURE 1::IRGC 116956-1	IRGC 116956	Venezuela				IRIS 313-10289	ind1B
108	3K-IRRI,RDP2sim	IRGC 125963	ELONI::IRGC 116980-1	IRGC 116980	Surinam				IRIS 313-10290	ind1B
109	3K-IRRI	IRGC 125962	ECIA 24-107-1::IRGC 116978-1	IRGC 116978	Cuba				IRIS 313-10293	ind1B
110	3K-IRRI	IRGC 125972	IR 21015-72-3-3-3-1::IRGC 117004-1	IRGC 117004	Philippines				IRIS 313-10294	indx
111	3K-IRRI	IRGC 127065	PDR 34-2-1-2::IRGC 117020-1	IRGC 117020	Pakistan				IRIS 313-10295	admix
112	3K-IRRI	IRGC 127030	3210::IRGC 116950-1	IRGC 116950	Sri Lanka				IRIS 313-10298	ind1B
113	3K-IRRI	IRGC 125960	CT 9506-18-7-1T-2::IRGC 116973-1	IRGC 116973	Colombia				IRIS 313-10300	indx
114	3K-IRRI	IRGC 126064	IRGA 959-1-2-2F-4-1-4A-6-CA-6X::IRGC 117006-1	IRGC 117006	Brazil				IRIS 313-10301	indx
115	3K-IRRI	IRGC 127050	INIAP 6::IRGC 117002-1	IRGC 117002	Ecuador				IRIS 313-10307	indx
116	3K-IRRI	IRGC 125969	INIAP 10::IRGC 117000-1	IRGC 117000	Ecuador				IRIS 313-10314	indx
117	3K-IRRI	IRGC 126085	RUSTIC::IRGC 117026-1	IRGC 117026	Guyana				IRIS 313-10318	indx
118	3K-IRRI	IRGC 125956	CAMPONI::IRGC 116963-1	IRGC 116963	Surinam				IRIS 313-10325	indx
119	3K-IRRI	IRGC 127042	CAROLINO BLANCO::IRGC 117249-1	IRGC 117249	Peru				IRIS 313-10327	trop1
120	3K-IRRI	IRGC 126044	B 4414 F-MR-6-3::IRGC 117310-1	IRGC 117310	Indonesia				IRIS 313-10332	indx
121	3K-IRRI	IRGC 125951	B 6136-3-TB-0-1-5::IRGC 117312-1	IRGC 117312	Indonesia				IRIS 313-10333	ind1B
122	3K-IRRI	IRGC 125952	B 6136 E-3-TB-0-1-5::IRGC 117311-1	IRGC 117311	Indonesia				IRIS 313-10334	ind1B
123	3K-IRRI		B 6144-MR-6-0-0::IRGC 117371-1	IRGC 117371	Lao People's Democratic Republic				IRIS 313-10336	trop1
124	3K-IRRI	IRGC 125953	B 6149 F-MR-7::IRGC 117314-1	IRGC 117314	Indonesia				IRIS 313-10337	indx
125	3K-IRRI	IRGC 127040	BR 4973-34-6-6::IRGC 117317-1	IRGC 117317	Bangladesh				IRIS 313-10340	indx
126	3K-IRRI	IRGC 121167	BR 5230-46-4::IRGC 117318-1	IRGC 117318	Bangladesh				IRIS 313-10341	indx
127	3K-IRRI	IRGC 125959	CSR-89 IR-15::IRGC 117326-1	IRGC 117326	India				IRIS 313-10348	indx
128	3K-IRRI	IRGC 120921	CSR-90 IR-2::IRGC 117327-1	IRGC 117327	India				IRIS 313-10349	indx
129	3K-IRRI	IRGC 120922	CT 9737-6-1-1-2-2P-M::IRGC 117330-1	IRGC 117330	Colombia				IRIS 313-10352	indx
130	3K-IRRI	IRGC 127049	HP 3319-2WX-6-4-1-B::IRGC 117331-1	IRGC 117331	Korea, Republic of				IRIS 313-10353	indx
131	3K-IRRI	IRGC 126023	IR 31142-14-1-1-3-1-1-2::IRGC 117378-1	IRGC 117378	Philippines				IRIS 313-10355	indx
132	3K-IRRI	IRGC 126024	IR 52718-B-B-6-B-B-1-1::IRGC 117334-1	IRGC 117334	Philippines				IRIS 313-10357	indx
133	3K-IRRI	IRGC 125973	IR 53650-2B-10-1-2-1::IRGC 117379-1	IRGC 117379	Philippines				IRIS 313-10359	indx
134	3K-IRRI	IRGC 126025	IR 57514-PMI 5-B-1-2::IRGC 117372-1	IRGC 117372	Philippines				IRIS 313-10360	indx
135	3K-IRRI	IRGC 127053	IR 63295-AC 209-7::IRGC 117365-1	IRGC 117365	Philippines				IRIS 313-10361	indx
136	3K-IRRI	IRGC 125976	IR 65483-111-5-9-2-11::IRGC 117286-1	IRGC 117286	Philippines				IRIS 313-10366	indx
137	3K-IRRI	IRGC 126026	IR 67518-B-11-1-B::IRGC 117380-1	IRGC 117380	Philippines				IRIS 313-10371	indx
138	3K-IRRI	IRGC 126027	IR 68333-R-R-B-19::IRGC 117381-1	IRGC 117381	Philippines				IRIS 313-10373	temp
139	3K-IRRI	IRGC 125979	IR 69502-6-SRN-3-UBN-1-B::IRGC 117290-1	IRGC 117290	Philippines				IRIS 313-10374	indx
140	3K-IRRI	IRGC 126028	IR 70027-8-2-2-3-2::IRGC 117382-1	IRGC 117382	Philippines				IRIS 313-10375	indx
141	3K-IRRI	IRGC 125980	IR 73688-57-2::IRGC 117383-1	IRGC 117383	Philippines				IRIS 313-10379	temp
142	3K-IRRI	IRGC 125981	IR 73690-7-2-1-1-3-2-2-1::IRGC 117384-1	IRGC 117384	Philippines				IRIS 313-10380	aus
143	3K-IRRI	IRGC 126062	IR 75870-5-8-5-B-1::IRGC 117297-1	IRGC 117297	Philippines				IRIS 313-10385	ind1B
144	3K-IRRI	IRGC 127075	IR 77390-1-6-4-19-1-B::IRGC 117303-1	IRGC 117303	Philippines				IRIS 313-10392	ind1B
145	3K-IRRI	IRGC 125986	IR 80310-12-B-1-3-B::IRGC 117307-1	IRGC 117307	Philippines				IRIS 313-10394	indx
146	3K-IRRI	IRGC 125987	IR 80340-23-B-12-6-B::IRGC 117309-1	IRGC 117309	Philippines				IRIS 313-10396	indx
147	3K-IRRI	IRGC 120991	IRGA 318-11-6-9-2B::IRGC 117339-1	IRGC 117339	Colombia				IRIS 313-10397	ind1B
148	3K-IRRI	IRGC 126030	IRGA 318-11-9-2A::IRGC 117340-1	IRGC 117340	Colombia				IRIS 313-10398	ind1B
149	3K-IRRI	IRGC 120992	IRGA 346-111-2-1F::IRGC 117341-1	IRGC 117341	Colombia				IRIS 313-10399	indx
150	3K-IRRI	IRGC 125988	IRGA 370-38-1-1F-C4-2::IRGC 117342-1	IRGC 117342	Colombia				IRIS 313-10400	ind1B
151	3K-IRRI	IRGC 125989	IRGA 370-42-1-1F-C-1::IRGC 117343-1	IRGC 117343	Colombia				IRIS 313-10401	ind1B
152	3K-IRRI	IRGC 125990	IRGA 411-1-6-1F-A::IRGC 117344-1	IRGC 117344	Colombia				IRIS 313-10402	ind1B
153	3K-IRRI	IRGC 120993	IRGA 659-1-2-2-2::IRGC 117345-1	IRGC 117345	Colombia				IRIS 313-10403	indx
154	3K-IRRI	IRGC 121003	K 479-2-3::IRGC 117346-1	IRGC 117346	India				IRIS 313-10404	indx
155	3K-IRRI	IRGC 121103	RR 272-17-829::IRGC 117354-1	IRGC 117354	Indonesia				IRIS 313-10412	indx
156	3K-IRRI	IRGC 126012	UPR 1201-1-20-1::IRGC 117357-1	IRGC 117357	India				IRIS 313-10417	ind1B
157	3K-IRRI	IRGC 121154	WAR 72-2-1-1::IRGC 117361-1	IRGC 117361	Sierra Leone				IRIS 313-10421	indx
158	3K-IRRI		WAR 87-7-A10-2-B-B-B-1::IRGC 117362-1	IRGC 117362	Sierra Leone				IRIS 313-10422	indx
159	3K-IRRI	IRGC 121160	YN 1353-3::IRGC 117363-1	IRGC 117363	Myanmar				IRIS 313-10423	indx
160	3K-IRRI		SERAUP 50::IRGC 14-1	IRGC 14	Malaysia				IRIS 313-10428	ind3
161	3K-IRRI	IRGC 127834	TAICHUNG 150::IRGC 80-1	IRGC 80	Taiwan				IRIS 313-10429	temp
162	3K-IRRI	IRGC 128299	GINMASARI::IRGC 242-1	IRGC 242	Japan				IRIS 313-10430	temp
163	3K-IRRI	IRGC 128193	TP MIL 53::IRGC 326-2	IRGC 326	Philippines				IRIS 313-10433	indx
164	3K-IRRI	IRGC 128409	NORIN 21::IRGC 493-1	IRGC 493	Japan				IRIS 313-10437	temp
165	3K-IRRI	IRGC 127642	NAGKAYAT::IRGC 584-1	IRGC 584	Philippines				IRIS 313-10440	temp
166	3K-IRRI		CASIBON::IRGC 589-2	IRGC 589	Philippines				IRIS 313-10441	indx
167	3K-IRRI	IRGC 127371	FORTUNA COLORADO::IRGC 703-1	IRGC 703	Central America				IRIS 313-10444	trop1
168	3K-IRRI	IRGC 127996	BINOLAYANGUN::IRGC 791-2	IRGC 791	Philippines				IRIS 313-10448	ind3
169	3K-IRRI	IRGC 128264	CI 7061::IRGC 968-1	IRGC 968	China				IRIS 313-10449	ind1A
170	3K-IRRI	IRGC 127258	CHAN KU::IRGC 1069-1	IRGC 1069	China				IRIS 313-10450	ind1A
171	3K-IRRI	IRGC 127565	LING TA 150::IRGC 1106-1	IRGC 1106	China				IRIS 313-10452	ind1A
172	3K-IRRI	IRGC 128371	LU TAO 2::IRGC 1175-1	IRGC 1175	China				IRIS 313-10453	japx
173	3K-IRRI	IRGC 127695	P 168::IRGC 1354-1	IRGC 1354	China				IRIS 313-10458	ind1A
174	3K-IRRI		PI 160862-1::IRGC 1452-1	IRGC 1452	China				IRIS 313-10459	japx
175	3K-IRRI	IRGC 128347	KINUGASAWASE::IRGC 2609-1	IRGC 2609	Japan				IRIS 313-10469	temp
176	3K-IRRI,RDP2sim	IRGC 127698	PACHCHAIPERUMAL 2462-11::IRGC 3474-1	IRGC 3474	Sri Lanka				IRIS 313-10476	ind2
177	3K-IRRI	IRGC 128454	RUSTY LATE::IRGC 3506-1	IRGC 3506	China				IRIS 313-10477	indx
178	3K-IRRI		PULUT NANGKA 16::IRGC 3630-2	IRGC 3630	Indonesia				IRIS 313-10480	indx
179	3K-IRRI	IRGC 127729	PILIT (7480) SELN (CI 12007)::IRGC 3758-1	IRGC 3758	Philippines				IRIS 313-10484	ind1A
180	3K-IRRI	IRGC 127248	CATIBOS::IRGC 3762-1	IRGC 3762	Philippines				IRIS 313-10485	trop1
181	3K-IRRI	IRGC 127630	MOROPOTOL::IRGC 3909-1	IRGC 3909	Philippines				IRIS 313-10489	trop1
182	3K-IRRI	IRGC 127249	CE IN TSAN::IRGC 4362-1	IRGC 4362	China				IRIS 313-10497	ind1A
183	3K-IRRI	IRGC 127865	TON ROO SHUN::IRGC 4572-1	IRGC 4572	China				IRIS 313-10502	ind1A
184	3K-IRRI	IRGC 127398	HA GOO::IRGC 4577-1	IRGC 4577	China				IRIS 313-10503	ind1A
185	3K-IRRI	IRGC 127419	HSIEH DAU::IRGC 4727-1	IRGC 4727	China				IRIS 313-10504	ind1A
186	3K-IRRI		PARN A 191::IRGC 4932-1	IRGC 4932	Thailand				IRIS 313-10506	ind3
187	3K-IRRI	IRGC 128311	HSIANG TSENF TAO::IRGC 5008-1	IRGC 5008	Taiwan				IRIS 313-10507	trop1
188	3K-IRRI	IRGC 127120	AMBARIKORI::IRGC 5132-1	IRGC 5132	Africa				IRIS 313-10509	ind3
189	3K-IRRI	IRGC 127589	MAGSIING::IRGC 5211-1	IRGC 5211	Philippines				IRIS 313-10510	indx
190	3K-IRRI	IRGC 128101	MACAN SAPAC::IRGC 5212-2	IRGC 5212	Philippines				IRIS 313-10511	ind3
191	3K-IRRI	IRGC 127579	LUBANG PUTI::IRGC 5429-1	IRGC 5429					IRIS 313-10513	indx
192	3K-IRRI		CAMPENA::IRGC 5452-2	IRGC 5452	Philippines				IRIS 313-10514	indx
193	3K-IRRI	IRGC 127836	TAICHUNG WOO GEN 2::IRGC 5525-1	IRGC 5525	Taiwan				IRIS 313-10515	ind1A
194	3K-IRRI	IRGC 127689	O. SATIVA::IRGC 5779-1	IRGC 5779	United States of America				IRIS 313-10516	indx
195	3K-IRRI	IRGC 127812	SIPOT::IRGC 5825-1	IRGC 5825	Philippines				IRIS 313-10517	ind3
196	3K-IRRI	IRGC 128088	KHAYANGYA D 34-181::IRGC 5861-2	IRGC 5861	Myanmar				IRIS 313-10518	indx
197	3K-IRRI		ADT 22::IRGC 5901-1	IRGC 5901	India				IRIS 313-10519	ind2
198	3K-IRRI		NATURAL HYBRID C 33-8::IRGC 5929-1	IRGC 5929	Myanmar				IRIS 313-10520	indx
199	3K-IRRI		SANNABATHA::IRGC 5971-1	IRGC 5971	India				IRIS 313-10521	aro
200	3K-IRRI		SUKAMANDI 1005::IRGC 6065-1	IRGC 6065	Indonesia				IRIS 313-10522	admix
201	3K-IRRI		PTB 18::IRGC 6105-1	IRGC 6105	India				IRIS 313-10523	indx
202	3K-IRRI		KHAO BAI SRI::IRGC 6110-2	IRGC 6110					IRIS 313-10524	ind3
203	3K-IRRI		BANDANG PUTIH 680::IRGC 6133-2	IRGC 6133	Indonesia				IRIS 313-10525	ind3
204	3K-IRRI		CO 2::IRGC 6186-2	IRGC 6186	India				IRIS 313-10526	ind2
205	3K-IRRI	IRGC 127107	ADT 12::IRGC 6254-1	IRGC 6254	India				IRIS 313-10527	ind2
206	3K-IRRI	IRGC 128310	HR 22::IRGC 6394-1	IRGC 6394	India				IRIS 313-10531	admix
207	3K-IRRI	IRGC 127290	D 204-1::IRGC 6445-1	IRGC 6445	India				IRIS 313-10534	aus
208	3K-IRRI	IRGC 128041	GAMTI 1-34::IRGC 6479-2	IRGC 6479	Tanzania				IRIS 313-10536	ind2
209	3K-IRRI		KALAMON 113::IRGC 6534-1	IRGC 6534	Bangladesh				IRIS 313-10537	admix
210	3K-IRRI	IRGC 127199	BADAL 76::IRGC 6586-1	IRGC 6586	Bangladesh				IRIS 313-10539	ind2
211	3K-IRRI		IACA ESCURO::IRGC 6636-1	IRGC 6636	Guinea-Bissau				IRIS 313-10541	trop1
212	3K-IRRI	IRGC 127992	BELLO::IRGC 6658-2	IRGC 6658	India				IRIS 313-10542	ind2
